Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1310.6666666666667,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,1317.3333333333333,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,1324.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,1315.6666666666667,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,1307.3333333333333,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,1299.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,1319.6666666666667,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,1340.3333333333333,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,1361.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,1367.6666666666667,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,1374.3333333333333,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,1381.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,1405.6666666666667,66487.13,4957.6,2.6,5.94
1997-01-02,1430.3333333333333,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,1455.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,1483.3333333333333,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,1511.6666666666667,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,1540.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,1554.6666666666667,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,1569.3333333333333,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,1584.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,1586.6666666666667,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,1589.3333333333333,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,1592.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,1597.3333333333333,70468.0,4957.7,1.8,7.25
1998-01-02,1602.6666666666667,70680.25,4957.583333333333,1.8,7.25
1998-01-03,1608.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,1609.3333333333333,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,1610.6666666666667,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,1612.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,1626.0,71741.5,4957.0,1.7,7.5
1998-01-08,1640.0,71953.75,4956.883333333333,1.6,7.5
1998-01-09,1654.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,1663.0,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,1672.0,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,1681.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,1678.0,73015.0,4956.3,2.0,6.0
1999-01-02,1675.0,73229.75,4956.491666666667,1.9,5.75
1999-01-03,1672.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,1690.3333333333333,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,1708.6666666666667,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,1727.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,1746.3333333333333,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,1765.6666666666667,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,1785.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,1835.0,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,1885.0,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,1935.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,1963.0,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,1991.0,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,2019.0,76173.0,4961.6,1.0,5.75
2000-01-04,2041.3333333333333,76463.5,4963.1,0.9,5.75
2000-01-05,2063.6666666666665,76754.0,4964.6,1.0,5.75
2000-01-06,2086.0,77044.5,4966.1,1.2,5.75
2000-01-07,2122.6666666666665,77335.0,4967.6,1.2,5.75
2000-01-08,2159.3333333333335,77625.5,4969.1,1.0,5.75
2000-01-09,2196.0,77916.0,4970.6,1.3,5.75
2000-01-10,2209.3333333333335,78206.5,4972.1,1.4,5.75
2000-01-11,2222.6666666666665,78497.0,4973.6,1.5,5.75
2000-01-12,2236.0,78787.5,4975.1,1.2,5.75
2001-01-01,2258.6666666666665,79078.0,4976.6,1.2,5.75
2001-01-02,2281.3333333333335,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,2304.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,2345.0,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,2386.0,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,2427.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,2421.6666666666665,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,2416.3333333333335,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,2411.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,2428.0,82290.25,4994.225,1.6,4.5
2001-01-11,2445.0,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,2462.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,2521.6666666666665,83361.0,5000.1,1.8,4.0
2002-01-02,2581.3333333333335,83829.0,5002.283333333334,1.7,4.0
2002-01-03,2641.0,84297.0,5004.466666666667,1.7,4.0
