Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,11389.333333333334,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,11412.666666666666,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,11436.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,11509.0,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,11582.0,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,11655.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,11881.0,76991.5653846154,5249.85,2.7,5.69
1996-01-08,12107.0,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,12333.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,12635.0,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,12937.0,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,13239.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,13479.333333333334,79374.78,5266.9,2.6,5.94
1997-01-02,13719.666666666666,79949.54833333334,5269.825,2.4,5.94
1997-01-03,13960.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,14240.666666666666,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,14521.333333333334,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,14802.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,15142.333333333334,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,15482.666666666666,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,15823.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,15919.333333333334,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,16015.666666666666,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,16112.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,16162.0,86272.0,5302.0,1.8,7.25
1998-01-02,16212.0,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,16262.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,16284.666666666666,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,16307.333333333334,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,16330.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,16317.333333333334,88164.5,5320.35,1.7,7.5
1998-01-08,16304.666666666666,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,16292.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,16229.0,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,16166.0,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,16103.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,16140.666666666666,90057.0,5338.7,2.0,6.0
1999-01-02,16178.333333333334,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,16216.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,16364.666666666666,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,16513.333333333332,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,16662.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,16914.666666666668,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,17167.333333333332,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,17420.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,17863.0,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,18306.0,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,18749.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,18996.0,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,19243.0,95285.08333333333,5377.125,1.2,5.666666666666667
