Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,4245.333333333333,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,4241.666666666667,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,4238.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,4304.666666666667,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,4371.333333333333,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,4438.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,4517.666666666667,31125.627692307702,2572.3,2.7,5.69
1996-01-08,4597.333333333333,31246.72974358975,2571.6,2.7,5.69
1996-01-09,4677.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,4819.333333333333,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,4961.666666666667,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,5104.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,5154.0,31852.24,2568.1,2.6,5.94
1997-01-02,5204.0,31917.553333333333,2567.5,2.4,5.94
1997-01-03,5254.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,5344.0,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,5434.0,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,5524.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,5534.333333333333,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,5544.666666666667,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,5555.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,5538.666666666667,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,5522.333333333333,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,5506.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,5506.0,32636.0,2560.9,1.8,7.25
1998-01-02,5506.0,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,5506.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,5518.0,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,5530.0,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,5542.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,5586.0,32986.0,2555.6000000000004,1.7,7.5
