Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,2332.3333333333335,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,2365.6666666666665,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,2399.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,2438.6666666666665,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,2478.3333333333335,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,2518.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,2581.6666666666665,76991.5653846154,5249.85,2.7,5.69
1996-01-08,2645.3333333333335,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,2709.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,2785.3333333333335,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,2861.6666666666665,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,2938.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,2955.6666666666665,79374.78,5266.9,2.6,5.94
1997-01-02,2973.3333333333335,79949.54833333334,5269.825,2.4,5.94
1997-01-03,2991.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,3042.0,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,3093.0,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,3144.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,3159.6666666666665,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,3175.3333333333335,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,3191.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,3191.3333333333335,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,3191.6666666666665,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,3192.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,3186.6666666666665,86272.0,5302.0,1.8,7.25
1998-01-02,3181.3333333333335,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,3176.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,3150.6666666666665,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,3125.3333333333335,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,3100.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,3110.3333333333335,88164.5,5320.35,1.7,7.5
1998-01-08,3120.6666666666665,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,3131.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,3123.6666666666665,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,3116.3333333333335,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,3109.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,3099.3333333333335,90057.0,5338.7,2.0,6.0
1999-01-02,3089.6666666666665,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,3080.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,3136.3333333333335,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,3192.6666666666665,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,3249.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,3301.3333333333335,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,3353.6666666666665,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,3406.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,3485.3333333333335,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,3564.6666666666665,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,3644.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,3688.3333333333335,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,3732.6666666666665,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,3777.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,3779.6666666666665,96091.25,5381.375,0.9,5.75
2000-01-05,3782.3333333333335,96494.33333333333,5383.5,1.0,5.75
2000-01-06,3785.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,3755.0,97300.5,5387.75,1.2,5.75
2000-01-08,3725.0,97703.58333333333,5389.875,1.0,5.75
2000-01-09,3695.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,3624.3333333333335,98509.75,5394.125,1.4,5.75
2000-01-11,3553.6666666666665,98912.83333333333,5396.25,1.5,5.75
2000-01-12,3483.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,3421.0,99719.0,5400.5,1.2,5.75
2001-01-02,3359.0,100041.0,5403.183333333333,1.2,5.75
2001-01-03,3297.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,3278.6666666666665,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,3260.3333333333335,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,3242.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,3294.0,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,3346.0,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,3398.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,3442.6666666666665,102617.0,5424.65,1.6,4.5
2001-01-11,3487.3333333333335,102939.0,5427.333333333333,1.2,4.25
2001-01-12,3532.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,3596.0,103583.0,5432.7,1.8,4.0
2002-01-02,3660.0,104128.5,5436.15,1.7,4.0
2002-01-03,3724.0,104674.0,5439.6,1.7,4.0
2002-01-04,3797.6666666666665,105219.5,5443.05,1.6,4.0
2002-01-05,3871.3333333333335,105765.0,5446.5,1.2,4.0
2002-01-06,3945.0,106310.5,5449.95,1.1,4.0
2002-01-07,3924.6666666666665,106856.0,5453.4,1.4,4.0
2002-01-08,3904.3333333333335,107401.5,5456.85,1.3,4.0
2002-01-09,3884.0,107947.0,5460.3,1.2,4.0
2002-01-10,3871.3333333333335,108492.5,5463.75,1.5,4.0
2002-01-11,3858.6666666666665,109038.0,5467.200000000001,1.6,4.0
2002-01-12,3846.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,3812.0,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,3778.0,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,3744.0,110792.33333333333,5479.85,1.6,3.75
