Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,853.0,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,849.0,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,845.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,867.3333333333334,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,889.6666666666666,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,912.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,951.3333333333334,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,990.6666666666666,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,1030.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,1058.3333333333333,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,1086.6666666666667,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,1115.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,1139.0,66487.13,4957.6,2.6,5.94
1997-01-02,1163.0,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,1187.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,1203.3333333333333,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,1219.6666666666667,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,1236.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,1236.3333333333333,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,1236.6666666666667,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,1237.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,1222.0,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,1207.0,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,1192.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,1181.3333333333333,70468.0,4957.7,1.8,7.25
1998-01-02,1170.6666666666667,70680.25,4957.583333333333,1.8,7.25
1998-01-03,1160.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,1138.0,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,1116.0,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,1094.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,1072.0,71741.5,4957.0,1.7,7.5
1998-01-08,1050.0,71953.75,4956.883333333333,1.6,7.5
1998-01-09,1028.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,1025.3333333333333,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,1022.6666666666666,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,1020.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,1023.0,73015.0,4956.3,2.0,6.0
1999-01-02,1026.0,73229.75,4956.491666666667,1.9,5.75
1999-01-03,1029.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,1042.3333333333333,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,1055.6666666666667,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,1069.0,74088.75,4957.258333333333,1.8,5.0
