Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,73150.0,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,73050.0,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,72950.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,73633.33333333333,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,74316.66666666667,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,75000.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,75000.0,31125.627692307702,2572.3,2.7,5.69
1996-01-08,75000.0,31246.72974358975,2571.6,2.7,5.69
1996-01-09,75000.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,75331.66666666667,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,75663.33333333333,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,75995.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,76163.33333333333,31852.24,2568.1,2.6,5.94
1997-01-02,76331.66666666667,31917.553333333333,2567.5,2.4,5.94
1997-01-03,76500.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,76331.66666666667,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,76163.33333333333,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,75995.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,76330.0,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,76665.0,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,77000.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,77166.66666666667,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,77333.33333333333,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,77500.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,77500.0,32636.0,2560.9,1.8,7.25
1998-01-02,77500.0,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,77500.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,77998.33333333333,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,78496.66666666667,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,78995.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,79313.33333333333,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,79631.66666666667,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,79950.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,80133.33333333333,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,80316.66666666667,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,80500.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,81000.0,33336.0,2550.3,2.0,6.0
1999-01-02,81500.0,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,82000.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,82166.66666666667,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,82333.33333333333,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,82500.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,83000.0,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,83500.0,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,84000.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,84166.66666666667,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,84333.33333333333,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,84500.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,84650.0,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,84800.0,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,84950.0,34649.5,2542.85,1.0,5.75
2000-01-04,84965.0,34774.25,2542.575,0.9,5.75
2000-01-05,84980.0,34899.0,2542.3,1.0,5.75
2000-01-06,84995.0,35023.75,2542.025,1.2,5.75
2000-01-07,85238.33333333333,35148.5,2541.75,1.2,5.75
2000-01-08,85481.66666666667,35273.25,2541.475,1.0,5.75
2000-01-09,85725.0,35398.0,2541.2,1.3,5.75
2000-01-10,86474.16666666667,35522.75,2540.925,1.4,5.75
2000-01-11,87223.33333333333,35647.5,2540.65,1.5,5.75
2000-01-12,87972.5,35772.25,2540.375,1.2,5.75
2001-01-01,88065.0,35897.0,2540.1,1.2,5.75
2001-01-02,88157.5,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,88250.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,89150.0,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,90050.0,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,90950.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,91298.33333333333,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,91646.66666666667,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,91995.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,92663.33333333333,37616.0,2540.475,1.6,4.5
2001-01-11,93331.66666666667,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,94000.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,94331.66666666667,38189.0,2540.6,1.8,4.0
2002-01-02,94663.33333333333,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,94995.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,96646.66666666667,38718.5,2540.575,1.6,4.0
2002-01-05,98298.33333333333,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,99950.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,102098.66666666667,39248.0,2540.55,1.4,4.0
2002-01-08,104247.33333333333,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,106396.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,109089.0,39777.5,2540.525,1.5,4.0
2002-01-11,111782.0,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,114475.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,116316.66666666667,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,118158.33333333333,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,120000.0,40838.0,2540.5,1.6,3.75
2003-01-04,122333.33333333333,41103.5,2540.5,1.5,3.75
2003-01-05,124666.66666666667,41369.0,2540.5,1.3,3.75
2003-01-06,127000.0,41634.5,2540.5,1.2,3.75
2003-01-07,129666.66666666667,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,132333.33333333334,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,135000.0,42431.0,2540.5,1.3,3.5
2003-01-10,137333.33333333334,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,139666.66666666666,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,142000.0,43227.5,2540.5,1.3,3.75
2004-01-01,143166.66666666666,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,144333.33333333334,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,145500.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,148666.66666666666,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,151833.33333333334,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,155000.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,158316.66666666666,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,161633.33333333334,44634.583333333336,2544.35,1.4,4.583333333333333
2004-01-09,164950.0,44797.666666666664,2544.9,1.2,4.75
2004-01-10,168300.0,44960.75,2545.45,1.3,4.75
2004-01-11,171650.0,45123.833333333336,2546.0,1.5,4.75
2004-01-12,175000.0,45286.916666666664,2546.5499999999997,1.8,4.75
2005-01-01,177333.33333333334,45450.0,2547.1,1.7,4.75
2005-01-02,179666.66666666666,45640.833333333336,2547.5583333333334,1.7,4.75
