Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,,64410.8307692308,4793.1,2.9,6.233333333333333
1996-01-02,,64771.45320512824,4795.950000000001,3.0,6.086666666666667
1996-01-03,139000.0,65132.075641025665,4798.8,3.0,5.94
1996-01-04,140333.33333333334,65492.6980769231,4801.650000000001,2.8,5.856666666666667
1996-01-05,141666.66666666666,65853.32051282053,4804.5,2.8,5.773333333333333
1996-01-06,143000.0,66213.94294871797,4807.35,2.8,5.69
1996-01-07,140333.33333333334,66574.5653846154,4810.200000000001,2.7,5.69
1996-01-08,137666.66666666666,66935.18782051283,4813.05,2.7,5.69
1996-01-09,135000.0,67295.81025641027,4815.900000000001,2.7,5.69
1996-01-10,135000.0,67656.4326923077,4818.75,3.0,5.773333333333333
1996-01-11,135000.0,68017.05512820513,4821.6,3.1,5.856666666666667
1996-01-12,135000.0,68377.67756410257,4824.45,2.8,5.94
1997-01-01,141666.66666666666,68738.3,4827.3,2.6,5.94
1997-01-02,148333.33333333334,69236.10833333334,4829.150000000001,2.4,5.94
1997-01-03,155000.0,69733.91666666667,4831.0,2.2,5.94
1997-01-04,150000.0,70231.725,4832.85,2.1,6.043333333333334
1997-01-05,145000.0,70729.53333333334,4834.7,2.1,6.1466666666666665
1997-01-06,140000.0,71227.34166666667,4836.55,2.1,6.25
1997-01-07,146666.66666666666,71725.15,4838.4,2.4,6.416666666666667
1997-01-08,153333.33333333334,72222.95833333333,4840.25,2.3,6.583333333333333
1997-01-09,160000.0,72720.76666666666,4842.1,2.2,6.75
1997-01-10,161333.33333333334,73218.575,4843.95,2.2,6.916666666666667
1997-01-11,162666.66666666666,73716.38333333333,4845.8,2.1,7.083333333333333
1997-01-12,164000.0,74214.19166666667,4847.65,1.9,7.25
1998-01-01,166666.66666666666,74712.0,4849.5,1.8,7.25
1998-01-02,169333.33333333334,75033.33333333333,4852.125,1.8,7.25
1998-01-03,172000.0,75354.66666666667,4854.75,1.9,7.25
1998-01-04,176000.0,75676.0,4857.375,2.1,7.333333333333333
1998-01-05,180000.0,75997.33333333333,4860.0,2.2,7.416666666666667
1998-01-06,184000.0,76318.66666666667,4862.625,1.9,7.5
1998-01-07,187666.66666666666,76640.0,4865.25,1.7,7.5
1998-01-08,191333.33333333334,76961.33333333333,4867.875,1.6,7.5
1998-01-09,195000.0,77282.66666666667,4870.5,1.7,7.5
1998-01-10,203333.33333333334,77604.0,4873.125,1.6,7.083333333333333
1998-01-11,211666.66666666666,77925.33333333333,4875.75,1.7,6.666666666666667
1998-01-12,220000.0,78246.66666666667,4878.375,1.9,6.25
1999-01-01,201666.66666666666,78568.0,4881.0,2.0,6.0
