Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1665.3333333333333,32436.2846153846,2891.3,2.9,6.233333333333333
1996-01-02,1678.6666666666667,32593.49006410255,2891.6000000000004,3.0,6.086666666666667
1996-01-03,1692.0,32750.6955128205,2891.9,3.0,5.94
1996-01-04,1714.6666666666667,32907.90096153845,2892.2000000000003,2.8,5.856666666666667
1996-01-05,1737.3333333333333,33065.1064102564,2892.5,2.8,5.773333333333333
1996-01-06,1760.0,33222.31185897435,2892.8,2.8,5.69
1996-01-07,1801.6666666666667,33379.5173076923,2893.1000000000004,2.7,5.69
1996-01-08,1843.3333333333333,33536.72275641025,2893.4,2.7,5.69
1996-01-09,1885.0,33693.9282051282,2893.7000000000003,2.7,5.69
1996-01-10,1932.6666666666667,33851.13365384615,2894.0,3.0,5.773333333333333
1996-01-11,1980.3333333333333,34008.3391025641,2894.3,3.1,5.856666666666667
1996-01-12,2028.0,34165.54455128205,2894.6,2.8,5.94
1997-01-01,2047.3333333333333,34322.75,2894.9,2.6,5.94
1997-01-02,2066.6666666666665,34550.6875,2895.2833333333333,2.4,5.94
1997-01-03,2086.0,34778.625,2895.666666666667,2.2,5.94
1997-01-04,2122.0,35006.5625,2896.05,2.1,6.043333333333334
1997-01-05,2158.0,35234.5,2896.4333333333334,2.1,6.1466666666666665
1997-01-06,2194.0,35462.4375,2896.8166666666666,2.1,6.25
1997-01-07,2214.6666666666665,35690.375,2897.2,2.4,6.416666666666667
1997-01-08,2235.3333333333335,35918.3125,2897.5833333333335,2.3,6.583333333333333
1997-01-09,2256.0,36146.25,2897.9666666666667,2.2,6.75
1997-01-10,2276.6666666666665,36374.1875,2898.35,2.2,6.916666666666667
1997-01-11,2297.3333333333335,36602.125,2898.7333333333336,2.1,7.083333333333333
1997-01-12,2318.0,36830.0625,2899.116666666667,1.9,7.25
1998-01-01,2323.6666666666665,37058.0,2899.5,1.8,7.25
1998-01-02,2329.3333333333335,37141.416666666664,2899.5916666666667,1.8,7.25
1998-01-03,2335.0,37224.833333333336,2899.6833333333334,1.9,7.25
1998-01-04,2349.0,37308.25,2899.775,2.1,7.333333333333333
1998-01-05,2363.0,37391.666666666664,2899.866666666667,2.2,7.416666666666667
1998-01-06,2377.0,37475.083333333336,2899.9583333333335,1.9,7.5
1998-01-07,2374.6666666666665,37558.5,2900.05,1.7,7.5
1998-01-08,2372.3333333333335,37641.916666666664,2900.1416666666664,1.6,7.5
1998-01-09,2370.0,37725.333333333336,2900.233333333333,1.7,7.5
1998-01-10,2356.0,37808.75,2900.325,1.6,7.083333333333333
1998-01-11,2342.0,37892.166666666664,2900.4166666666665,1.7,6.666666666666667
1998-01-12,2328.0,37975.583333333336,2900.508333333333,1.9,6.25
1999-01-01,2309.6666666666665,38059.0,2900.6,2.0,6.0
1999-01-02,2291.3333333333335,38205.416666666664,2901.125,1.9,5.75
1999-01-03,2273.0,38351.833333333336,2901.65,2.1,5.5
1999-01-04,2246.6666666666665,38498.25,2902.175,2.0,5.333333333333333
1999-01-05,2220.3333333333335,38644.666666666664,2902.7,1.7,5.166666666666667
1999-01-06,2194.0,38791.083333333336,2903.225,1.8,5.0
1999-01-07,2188.6666666666665,38937.5,2903.75,1.7,5.083333333333333
1999-01-08,2183.3333333333335,39083.916666666664,2904.275,1.6,5.166666666666667
1999-01-09,2178.0,39230.333333333336,2904.8,1.6,5.25
1999-01-10,2210.6666666666665,39376.75,2905.325,1.5,5.333333333333333
1999-01-11,2243.3333333333335,39523.166666666664,2905.85,1.5,5.416666666666667
1999-01-12,2276.0,39669.583333333336,2906.375,1.5,5.5
2000-01-01,2311.6666666666665,39816.0,2906.9,1.2,5.583333333333333
2000-01-02,2347.3333333333335,39921.5,2907.175,1.2,5.666666666666667
2000-01-03,2383.0,40027.0,2907.45,1.0,5.75
2000-01-04,2432.6666666666665,40132.5,2907.725,0.9,5.75
2000-01-05,2482.3333333333335,40238.0,2908.0,1.0,5.75
2000-01-06,2532.0,40343.5,2908.275,1.2,5.75
2000-01-07,2577.0,40449.0,2908.55,1.2,5.75
2000-01-08,2622.0,40554.5,2908.825,1.0,5.75
2000-01-09,2667.0,40660.0,2909.1,1.3,5.75
2000-01-10,2661.6666666666665,40765.5,2909.375,1.4,5.75
2000-01-11,2656.3333333333335,40871.0,2909.6499999999996,1.5,5.75
2000-01-12,2651.0,40976.5,2909.9249999999997,1.2,5.75
2001-01-01,2665.6666666666665,41082.0,2910.2,1.2,5.75
2001-01-02,2680.3333333333335,41231.333333333336,2911.258333333333,1.2,5.75
2001-01-03,2695.0,41380.666666666664,2912.3166666666666,1.3,5.75
2001-01-04,2712.3333333333335,41530.0,2913.375,1.5,5.583333333333333
2001-01-05,2729.6666666666665,41679.333333333336,2914.4333333333334,1.9,5.416666666666667
2001-01-06,2747.0,41828.666666666664,2915.491666666667,1.9,5.25
2001-01-07,2774.0,41978.0,2916.55,1.7,5.083333333333333
2001-01-08,2801.0,42127.333333333336,2917.608333333333,2.1,4.916666666666667
2001-01-09,2828.0,42276.666666666664,2918.6666666666665,1.7,4.75
2001-01-10,2893.3333333333335,42426.0,2919.725,1.6,4.5
2001-01-11,2958.6666666666665,42575.333333333336,2920.7833333333333,1.2,4.25
2001-01-12,3024.0,42724.666666666664,2921.8416666666667,1.4,4.0
2002-01-01,3067.6666666666665,42874.0,2922.9,1.8,4.0
2002-01-02,3111.3333333333335,43105.666666666664,2924.133333333333,1.7,4.0
2002-01-03,3155.0,43337.333333333336,2925.366666666667,1.7,4.0
2002-01-04,3199.3333333333335,43569.0,2926.6,1.6,4.0
2002-01-05,3243.6666666666665,43800.666666666664,2927.8333333333335,1.2,4.0
2002-01-06,3288.0,44032.333333333336,2929.0666666666666,1.1,4.0
2002-01-07,3324.6666666666665,44264.0,2930.3,1.4,4.0
2002-01-08,3361.3333333333335,44495.666666666664,2931.5333333333333,1.3,4.0
2002-01-09,3398.0,44727.333333333336,2932.7666666666664,1.2,4.0
2002-01-10,3419.6666666666665,44959.0,2934.0,1.5,4.0
2002-01-11,3441.3333333333335,45190.666666666664,2935.233333333333,1.6,4.0
2002-01-12,3463.0,45422.333333333336,2936.4666666666667,1.7,4.0
2003-01-01,3481.3333333333335,45654.0,2937.7,1.4,3.9166666666666665
2003-01-02,3499.6666666666665,45881.75,2939.3416666666667,1.6,3.8333333333333335
2003-01-03,3518.0,46109.5,2940.983333333333,1.6,3.75
2003-01-04,3482.0,46337.25,2942.625,1.5,3.75
2003-01-05,3446.0,46565.0,2944.2666666666664,1.3,3.75
2003-01-06,3410.0,46792.75,2945.9083333333333,1.2,3.75
2003-01-07,3402.3333333333335,47020.5,2947.55,1.3,3.6666666666666665
2003-01-08,3394.6666666666665,47248.25,2949.1916666666666,1.4,3.5833333333333335
2003-01-09,3387.0,47476.0,2950.8333333333335,1.3,3.5
2003-01-10,3394.0,47703.75,2952.475,1.3,3.5833333333333335
2003-01-11,3401.0,47931.5,2954.116666666667,1.3,3.6666666666666665
2003-01-12,3408.0,48159.25,2955.758333333333,1.3,3.75
2004-01-01,3405.0,48387.0,2957.4,1.5,3.8333333333333335
2004-01-02,3402.0,48576.916666666664,2958.391666666667,1.4,3.9166666666666665
2004-01-03,3399.0,48766.833333333336,2959.383333333333,1.2,4.0
2004-01-04,3428.6666666666665,48956.75,2960.375,1.1,4.083333333333333
2004-01-05,3458.3333333333335,49146.666666666664,2961.366666666667,1.4,4.166666666666667
2004-01-06,3488.0,49336.583333333336,2962.3583333333336,1.5,4.25
2004-01-07,3448.6666666666665,49526.5,2963.3500000000004,1.4,4.416666666666667
2004-01-08,3409.3333333333335,49716.416666666664,2964.3416666666667,1.4,4.583333333333333
2004-01-09,3370.0,49906.333333333336,2965.3333333333335,1.2,4.75
2004-01-10,3264.6666666666665,50096.25,2966.3250000000003,1.3,4.75
2004-01-11,3159.3333333333335,50286.166666666664,2967.3166666666666,1.5,4.75
2004-01-12,3054.0,50476.083333333336,2968.3083333333334,1.8,4.75
2005-01-01,2953.6666666666665,50666.0,2969.3,1.7,4.75
