Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,474.3333333333333,32436.2846153846,2891.3,2.9,6.233333333333333
1996-01-02,475.6666666666667,32593.49006410255,2891.6000000000004,3.0,6.086666666666667
1996-01-03,477.0,32750.6955128205,2891.9,3.0,5.94
1996-01-04,490.3333333333333,32907.90096153845,2892.2000000000003,2.8,5.856666666666667
1996-01-05,503.6666666666667,33065.1064102564,2892.5,2.8,5.773333333333333
1996-01-06,517.0,33222.31185897435,2892.8,2.8,5.69
1996-01-07,529.3333333333334,33379.5173076923,2893.1000000000004,2.7,5.69
1996-01-08,541.6666666666666,33536.72275641025,2893.4,2.7,5.69
1996-01-09,554.0,33693.9282051282,2893.7000000000003,2.7,5.69
1996-01-10,564.6666666666666,33851.13365384615,2894.0,3.0,5.773333333333333
1996-01-11,575.3333333333334,34008.3391025641,2894.3,3.1,5.856666666666667
1996-01-12,586.0,34165.54455128205,2894.6,2.8,5.94
1997-01-01,594.6666666666666,34322.75,2894.9,2.6,5.94
1997-01-02,603.3333333333334,34550.6875,2895.2833333333333,2.4,5.94
1997-01-03,612.0,34778.625,2895.666666666667,2.2,5.94
1997-01-04,610.3333333333334,35006.5625,2896.05,2.1,6.043333333333334
1997-01-05,608.6666666666666,35234.5,2896.4333333333334,2.1,6.1466666666666665
1997-01-06,607.0,35462.4375,2896.8166666666666,2.1,6.25
1997-01-07,620.3333333333334,35690.375,2897.2,2.4,6.416666666666667
1997-01-08,633.6666666666666,35918.3125,2897.5833333333335,2.3,6.583333333333333
1997-01-09,647.0,36146.25,2897.9666666666667,2.2,6.75
1997-01-10,638.3333333333334,36374.1875,2898.35,2.2,6.916666666666667
1997-01-11,629.6666666666666,36602.125,2898.7333333333336,2.1,7.083333333333333
1997-01-12,621.0,36830.0625,2899.116666666667,1.9,7.25
1998-01-01,615.0,37058.0,2899.5,1.8,7.25
1998-01-02,609.0,37141.416666666664,2899.5916666666667,1.8,7.25
1998-01-03,603.0,37224.833333333336,2899.6833333333334,1.9,7.25
1998-01-04,616.3333333333334,37308.25,2899.775,2.1,7.333333333333333
1998-01-05,629.6666666666666,37391.666666666664,2899.866666666667,2.2,7.416666666666667
1998-01-06,643.0,37475.083333333336,2899.9583333333335,1.9,7.5
1998-01-07,630.0,37558.5,2900.05,1.7,7.5
1998-01-08,617.0,37641.916666666664,2900.1416666666664,1.6,7.5
1998-01-09,604.0,37725.333333333336,2900.233333333333,1.7,7.5
1998-01-10,611.6666666666666,37808.75,2900.325,1.6,7.083333333333333
1998-01-11,619.3333333333334,37892.166666666664,2900.4166666666665,1.7,6.666666666666667
1998-01-12,627.0,37975.583333333336,2900.508333333333,1.9,6.25
1999-01-01,628.3333333333334,38059.0,2900.6,2.0,6.0
1999-01-02,629.6666666666666,38205.416666666664,2901.125,1.9,5.75
1999-01-03,631.0,38351.833333333336,2901.65,2.1,5.5
1999-01-04,639.0,38498.25,2902.175,2.0,5.333333333333333
1999-01-05,647.0,38644.666666666664,2902.7,1.7,5.166666666666667
1999-01-06,655.0,38791.083333333336,2903.225,1.8,5.0
1999-01-07,669.3333333333334,38937.5,2903.75,1.7,5.083333333333333
1999-01-08,683.6666666666666,39083.916666666664,2904.275,1.6,5.166666666666667
1999-01-09,698.0,39230.333333333336,2904.8,1.6,5.25
1999-01-10,719.6666666666666,39376.75,2905.325,1.5,5.333333333333333
1999-01-11,741.3333333333334,39523.166666666664,2905.85,1.5,5.416666666666667
1999-01-12,763.0,39669.583333333336,2906.375,1.5,5.5
2000-01-01,785.6666666666666,39816.0,2906.9,1.2,5.583333333333333
2000-01-02,808.3333333333334,39921.5,2907.175,1.2,5.666666666666667
2000-01-03,831.0,40027.0,2907.45,1.0,5.75
2000-01-04,838.0,40132.5,2907.725,0.9,5.75
2000-01-05,845.0,40238.0,2908.0,1.0,5.75
2000-01-06,852.0,40343.5,2908.275,1.2,5.75
