Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,187666.66666666666,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,188833.33333333334,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,190000.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,192500.0,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,195000.0,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,197500.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,198333.33333333334,161594.5223076925,6994.6,2.7,5.69
1996-01-08,199166.66666666666,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,200000.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,202250.0,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,204500.0,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,206750.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,207833.33333333334,168929.54,7014.8,2.6,5.94
1997-01-02,208916.66666666666,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,210000.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,210000.0,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,210000.0,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,210000.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,211666.66666666666,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,213333.33333333334,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,215000.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,221666.66666666666,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,228333.33333333334,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,235000.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,238333.33333333334,195741.0,7065.5,1.8,7.25
1998-01-02,241666.66666666666,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,245000.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,246666.66666666666,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,248333.33333333334,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,250000.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,256666.66666666666,201209.0,7109.7,1.7,7.5
1998-01-08,263333.3333333333,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,270000.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,268333.3333333333,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,266666.6666666667,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,265000.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,268333.3333333333,206677.0,7153.9,2.0,6.0
1999-01-02,271666.6666666667,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,275000.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,280833.3333333333,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,286666.6666666667,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,292500.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,296666.6666666667,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,300833.3333333333,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,305000.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,313333.3333333333,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,321666.6666666667,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,330000.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,335500.0,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,341000.0,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,346500.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,350333.3333333333,224447.0,7258.125,0.9,5.75
2000-01-05,354166.6666666667,224991.0,7265.266666666666,1.0,5.75
2000-01-06,358000.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,369500.0,226079.0,7279.549999999999,1.2,5.75
2000-01-08,381000.0,226623.0,7286.691666666667,1.0,5.75
2000-01-09,392500.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,398333.3333333333,227711.0,7300.974999999999,1.4,5.75
2000-01-11,404166.6666666667,228255.0,7308.116666666667,1.5,5.75
2000-01-12,410000.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,412550.0,229343.0,7322.4,1.2,5.75
2001-01-02,415100.0,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,417650.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,420100.0,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,422550.0,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,425000.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,424166.6666666667,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,423333.3333333333,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,422500.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,423333.3333333333,235689.5,7363.125,1.6,4.5
2001-01-11,424166.6666666667,236394.66666666666,7367.65,1.2,4.25
2001-01-12,425000.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,426158.3333333333,237805.0,7376.7,1.8,4.0
2002-01-02,427316.6666666667,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,428475.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,435650.0,241213.25,7381.225,1.6,4.0
2002-01-05,442825.0,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,450000.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,458333.3333333333,244621.5,7385.75,1.4,4.0
2002-01-08,466666.6666666667,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,475000.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,480333.3333333333,248029.75,7390.275,1.5,4.0
2002-01-11,485666.6666666667,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,491000.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,494000.0,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,497000.0,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,500000.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,499983.3333333333,254584.5,7404.275,1.5,3.75
2003-01-05,499966.6666666667,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,499950.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,499966.3333333333,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,499982.6666666667,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,499999.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,499999.3333333333,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,499999.6666666667,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,500000.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,509850.0,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,519700.0,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,529550.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,536366.6666666666,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,543183.3333333334,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,550000.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,556250.0,274139.5,7475.85,1.4,4.416666666666667
2004-01-08,562500.0,275825.4166666667,7483.041666666667,1.4,4.583333333333333
2004-01-09,568750.0,277511.3333333333,7490.233333333334,1.2,4.75
2004-01-10,575166.6666666666,279197.25,7497.425,1.3,4.75
2004-01-11,581583.3333333334,280883.1666666667,7504.616666666667,1.5,4.75
2004-01-12,588000.0,282569.0833333333,7511.808333333333,1.8,4.75
2005-01-01,586000.0,284255.0,7519.0,1.7,4.75
2005-01-02,584000.0,285704.5833333333,7525.566666666667,1.7,4.75
2005-01-03,582000.0,287154.1666666667,7532.133333333333,2.0,4.75
