Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,45000.0,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,45000.0,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,45000.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,45000.0,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,45000.0,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,45000.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,45000.0,131729.3734615385,7826.75,2.7,5.69
1996-01-08,45000.0,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,45000.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,45166.666666666664,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,45333.333333333336,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,45500.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,45983.333333333336,135969.93,7853.1,2.6,5.94
1997-01-02,46466.666666666664,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,46950.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,47300.0,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,47650.0,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,48000.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,48666.666666666664,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,49333.333333333336,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,50000.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,50333.333333333336,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,50666.666666666664,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,51000.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,51650.0,150178.0,7888.8,1.8,7.25
1998-01-02,52300.0,150815.25,7894.325,1.8,7.25
1998-01-03,52950.0,151452.5,7899.85,1.9,7.25
1998-01-04,52966.666666666664,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,52983.333333333336,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,53000.0,153364.25,7916.425,1.9,7.5
1998-01-07,53333.333333333336,154001.5,7921.950000000001,1.7,7.5
1998-01-08,53666.666666666664,154638.75,7927.475,1.6,7.5
1998-01-09,54000.0,155276.0,7933.0,1.7,7.5
1998-01-10,54650.0,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,55300.0,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,55950.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,55966.666666666664,157825.0,7955.1,2.0,6.0
1999-01-02,55983.333333333336,158477.0,7958.058333333333,1.9,5.75
1999-01-03,56000.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,56333.333333333336,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,56666.666666666664,160433.0,7966.933333333333,1.7,5.166666666666667
1999-01-06,57000.0,161085.0,7969.891666666667,1.8,5.0
1999-01-07,57833.333333333336,161737.0,7972.85,1.7,5.083333333333333
1999-01-08,58666.666666666664,162389.0,7975.808333333333,1.6,5.166666666666667
1999-01-09,59500.0,163041.0,7978.766666666667,1.6,5.25
1999-01-10,59666.666666666664,163693.0,7981.725,1.5,5.333333333333333
1999-01-11,59833.333333333336,164345.0,7984.683333333333,1.5,5.416666666666667
1999-01-12,60000.0,164997.0,7987.641666666667,1.5,5.5
2000-01-01,61291.666666666664,165649.0,7990.6,1.2,5.583333333333333
2000-01-02,62583.333333333336,166174.0,7993.333333333334,1.2,5.666666666666667
2000-01-03,63875.0,166699.0,7996.066666666667,1.0,5.75
2000-01-04,65083.333333333336,167224.0,7998.8,0.9,5.75
2000-01-05,66291.66666666667,167749.0,8001.533333333334,1.0,5.75
