Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,28833.333333333332,66706.0830769231,5263.0,2.9,6.233333333333333
1996-01-02,28666.666666666668,67035.1994871795,5262.941666666667,3.0,6.086666666666667
1996-01-03,28500.0,67364.31589743591,5262.883333333333,3.0,5.94
1996-01-04,28583.333333333332,67693.43230769232,5262.825,2.8,5.856666666666667
1996-01-05,28666.666666666668,68022.54871794872,5262.766666666666,2.8,5.773333333333333
1996-01-06,28750.0,68351.66512820513,5262.708333333333,2.8,5.69
1996-01-07,28791.666666666668,68680.78153846154,5262.65,2.7,5.69
1996-01-08,28833.333333333332,69009.89794871796,5262.591666666667,2.7,5.69
1996-01-09,28875.0,69339.01435897437,5262.533333333334,2.7,5.69
1996-01-10,29750.0,69668.13076923077,5262.475,3.0,5.773333333333333
1996-01-11,30625.0,69997.24717948718,5262.416666666667,3.1,5.856666666666667
1996-01-12,31500.0,70326.36358974359,5262.358333333334,2.8,5.94
1997-01-01,31665.0,70655.48,5262.3,2.6,5.94
1997-01-02,31830.0,71343.35666666666,5263.058333333333,2.4,5.94
1997-01-03,31995.0,72031.23333333334,5263.816666666667,2.2,5.94
1997-01-04,31330.0,72719.11,5264.575,2.1,6.043333333333334
1997-01-05,30665.0,73406.98666666666,5265.333333333333,2.1,6.1466666666666665
1997-01-06,30000.0,74094.86333333333,5266.091666666666,2.1,6.25
1997-01-07,30000.0,74782.73999999999,5266.85,2.4,6.416666666666667
1997-01-08,30000.0,75470.61666666667,5267.608333333334,2.3,6.583333333333333
1997-01-09,30000.0,76158.49333333333,5268.366666666667,2.2,6.75
1997-01-10,30083.333333333332,76846.37,5269.125,2.2,6.916666666666667
1997-01-11,30166.666666666668,77534.24666666667,5269.883333333333,2.1,7.083333333333333
1997-01-12,30250.0,78222.12333333334,5270.641666666666,1.9,7.25
1998-01-01,29491.666666666668,78910.0,5271.4,1.8,7.25
1998-01-02,28733.333333333332,79141.08333333333,5271.45,1.8,7.25
1998-01-03,27975.0,79372.16666666667,5271.5,1.9,7.25
1998-01-04,28141.666666666668,79603.25,5271.549999999999,2.1,7.333333333333333
1998-01-05,28308.333333333332,79834.33333333333,5271.599999999999,2.2,7.416666666666667
1998-01-06,28475.0,80065.41666666667,5271.65,1.9,7.5
1998-01-07,28475.0,80296.5,5271.7,1.7,7.5
1998-01-08,28475.0,80527.58333333333,5271.75,1.6,7.5
1998-01-09,28475.0,80758.66666666667,5271.8,1.7,7.5
1998-01-10,28650.0,80989.75,5271.85,1.6,7.083333333333333
1998-01-11,28825.0,81220.83333333333,5271.9,1.7,6.666666666666667
1998-01-12,29000.0,81451.91666666667,5271.95,1.9,6.25
1999-01-01,29325.0,81683.0,5272.0,2.0,6.0
1999-01-02,29650.0,81894.0,5271.8,1.9,5.75
1999-01-03,29975.0,82105.0,5271.6,2.1,5.5
1999-01-04,29983.333333333332,82316.0,5271.4,2.0,5.333333333333333
1999-01-05,29991.666666666668,82527.0,5271.2,1.7,5.166666666666667
1999-01-06,30000.0,82738.0,5271.0,1.8,5.0
1999-01-07,30000.0,82949.0,5270.8,1.7,5.083333333333333
