Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,460.3333333333333,86273.0046153846,6809.6,2.9,6.233333333333333
1996-01-02,468.6666666666667,86724.08506410256,6808.333333333334,3.0,6.086666666666667
1996-01-03,477.0,87175.1655128205,6807.066666666667,3.0,5.94
1996-01-04,482.3333333333333,87626.24596153846,6805.8,2.8,5.856666666666667
1996-01-05,487.6666666666667,88077.3264102564,6804.533333333334,2.8,5.773333333333333
1996-01-06,493.0,88528.40685897435,6803.266666666666,2.8,5.69
1996-01-07,494.3333333333333,88979.4873076923,6802.0,2.7,5.69
1996-01-08,495.6666666666667,89430.56775641025,6800.733333333334,2.7,5.69
1996-01-09,497.0,89881.64820512821,6799.466666666666,2.7,5.69
1996-01-10,506.0,90332.72865384615,6798.2,3.0,5.773333333333333
1996-01-11,515.0,90783.8091025641,6796.933333333333,3.1,5.856666666666667
1996-01-12,524.0,91234.88955128205,6795.666666666666,2.8,5.94
1997-01-01,531.0,91685.97,6794.4,2.6,5.94
1997-01-02,538.0,92319.38916666666,6794.216666666666,2.4,5.94
1997-01-03,545.0,92952.80833333333,6794.033333333333,2.2,5.94
1997-01-04,561.3333333333334,93586.22750000001,6793.849999999999,2.1,6.043333333333334
1997-01-05,577.6666666666666,94219.64666666667,6793.666666666666,2.1,6.1466666666666665
1997-01-06,594.0,94853.06583333333,6793.483333333333,2.1,6.25
1997-01-07,608.0,95486.485,6793.299999999999,2.4,6.416666666666667
1997-01-08,622.0,96119.90416666667,6793.116666666667,2.3,6.583333333333333
1997-01-09,636.0,96753.32333333333,6792.933333333333,2.2,6.75
1997-01-10,635.0,97386.7425,6792.75,2.2,6.916666666666667
1997-01-11,634.0,98020.16166666667,6792.566666666667,2.1,7.083333333333333
1997-01-12,633.0,98653.58083333334,6792.383333333333,1.9,7.25
1998-01-01,628.0,99287.0,6792.2,1.8,7.25
1998-01-02,623.0,99705.66666666667,6790.608333333334,1.8,7.25
1998-01-03,618.0,100124.33333333333,6789.016666666666,1.9,7.25
1998-01-04,612.0,100543.0,6787.425,2.1,7.333333333333333
1998-01-05,606.0,100961.66666666667,6785.833333333333,2.2,7.416666666666667
1998-01-06,600.0,101380.33333333333,6784.241666666667,1.9,7.5
1998-01-07,594.3333333333334,101799.0,6782.65,1.7,7.5
1998-01-08,588.6666666666666,102217.66666666667,6781.058333333333,1.6,7.5
1998-01-09,583.0,102636.33333333333,6779.466666666667,1.7,7.5
1998-01-10,585.3333333333334,103055.0,6777.875,1.6,7.083333333333333
1998-01-11,587.6666666666666,103473.66666666667,6776.283333333334,1.7,6.666666666666667
1998-01-12,590.0,103892.33333333333,6774.691666666667,1.9,6.25
1999-01-01,593.6666666666666,104311.0,6773.1,2.0,6.0
1999-01-02,597.3333333333334,104547.5,6773.191666666667,1.9,5.75
1999-01-03,601.0,104784.0,6773.283333333334,2.1,5.5
1999-01-04,607.0,105020.5,6773.375,2.0,5.333333333333333
1999-01-05,613.0,105257.0,6773.466666666667,1.7,5.166666666666667
1999-01-06,619.0,105493.5,6773.558333333333,1.8,5.0
1999-01-07,627.0,105730.0,6773.65,1.7,5.083333333333333
1999-01-08,635.0,105966.5,6773.741666666667,1.6,5.166666666666667
1999-01-09,643.0,106203.0,6773.833333333333,1.6,5.25
1999-01-10,649.3333333333334,106439.5,6773.925,1.5,5.333333333333333
1999-01-11,655.6666666666666,106676.0,6774.016666666666,1.5,5.416666666666667
1999-01-12,662.0,106912.5,6774.108333333334,1.5,5.5
2000-01-01,656.0,107149.0,6774.2,1.2,5.583333333333333
2000-01-02,650.0,107653.83333333333,6774.099999999999,1.2,5.666666666666667
2000-01-03,644.0,108158.66666666667,6774.0,1.0,5.75
2000-01-04,650.0,108663.5,6773.9,0.9,5.75
2000-01-05,656.0,109168.33333333333,6773.8,1.0,5.75
2000-01-06,662.0,109673.16666666667,6773.7,1.2,5.75
2000-01-07,666.6666666666666,110178.0,6773.6,1.2,5.75
2000-01-08,671.3333333333334,110682.83333333333,6773.5,1.0,5.75
2000-01-09,676.0,111187.66666666667,6773.4,1.3,5.75
2000-01-10,682.0,111692.5,6773.3,1.4,5.75
2000-01-11,688.0,112197.33333333333,6773.2,1.5,5.75
2000-01-12,694.0,112702.16666666667,6773.1,1.2,5.75
2001-01-01,713.6666666666666,113207.0,6773.0,1.2,5.75
2001-01-02,733.3333333333334,113646.75,6773.991666666667,1.2,5.75
2001-01-03,753.0,114086.5,6774.983333333334,1.3,5.75
2001-01-04,754.6666666666666,114526.25,6775.975,1.5,5.583333333333333
2001-01-05,756.3333333333334,114966.0,6776.966666666666,1.9,5.416666666666667
2001-01-06,758.0,115405.75,6777.958333333333,1.9,5.25
2001-01-07,763.6666666666666,115845.5,6778.95,1.7,5.083333333333333
2001-01-08,769.3333333333334,116285.25,6779.941666666667,2.1,4.916666666666667
2001-01-09,775.0,116725.0,6780.933333333333,1.7,4.75
2001-01-10,789.3333333333334,117164.75,6781.924999999999,1.6,4.5
2001-01-11,803.6666666666666,117604.5,6782.916666666666,1.2,4.25
2001-01-12,818.0,118044.25,6783.908333333333,1.4,4.0
2002-01-01,826.3333333333334,118484.0,6784.9,1.8,4.0
2002-01-02,834.6666666666666,119034.08333333333,6787.383333333333,1.7,4.0
2002-01-03,843.0,119584.16666666667,6789.866666666667,1.7,4.0
2002-01-04,860.3333333333334,120134.25,6792.349999999999,1.6,4.0
2002-01-05,877.6666666666666,120684.33333333333,6794.833333333333,1.2,4.0
2002-01-06,895.0,121234.41666666667,6797.316666666667,1.1,4.0
2002-01-07,925.3333333333334,121784.5,6799.799999999999,1.4,4.0
2002-01-08,955.6666666666666,122334.58333333333,6802.283333333333,1.3,4.0
2002-01-09,986.0,122884.66666666667,6804.766666666666,1.2,4.0
2002-01-10,997.0,123434.75,6807.25,1.5,4.0
2002-01-11,1008.0,123984.83333333333,6809.733333333334,1.6,4.0
2002-01-12,1019.0,124534.91666666667,6812.216666666666,1.7,4.0
2003-01-01,1015.0,125085.0,6814.7,1.4,3.9166666666666665
2003-01-02,1011.0,125676.91666666667,6816.841666666666,1.6,3.8333333333333335
2003-01-03,1007.0,126268.83333333333,6818.983333333334,1.6,3.75
2003-01-04,1009.0,126860.75,6821.125,1.5,3.75
2003-01-05,1011.0,127452.66666666667,6823.266666666666,1.3,3.75
2003-01-06,1013.0,128044.58333333333,6825.408333333333,1.2,3.75
2003-01-07,984.3333333333334,128636.5,6827.549999999999,1.3,3.6666666666666665
2003-01-08,955.6666666666666,129228.41666666667,6829.691666666667,1.4,3.5833333333333335
2003-01-09,927.0,129820.33333333333,6831.833333333333,1.3,3.5
2003-01-10,924.6666666666666,130412.25,6833.974999999999,1.3,3.5833333333333335
2003-01-11,922.3333333333334,131004.16666666667,6836.116666666667,1.3,3.6666666666666665
2003-01-12,920.0,131596.08333333334,6838.258333333333,1.3,3.75
2004-01-01,928.6666666666666,132188.0,6840.4,1.5,3.8333333333333335
2004-01-02,937.3333333333334,132724.16666666666,6842.866666666667,1.4,3.9166666666666665
2004-01-03,946.0,133260.33333333334,6845.333333333333,1.2,4.0
2004-01-04,947.3333333333334,133796.5,6847.799999999999,1.1,4.083333333333333
2004-01-05,948.6666666666666,134332.66666666666,6850.266666666666,1.4,4.166666666666667
2004-01-06,950.0,134868.83333333334,6852.733333333334,1.5,4.25
