Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,326.3333333333333,32436.2846153846,2891.3,2.9,6.233333333333333
1996-01-02,336.6666666666667,32593.49006410255,2891.6000000000004,3.0,6.086666666666667
1996-01-03,347.0,32750.6955128205,2891.9,3.0,5.94
1996-01-04,366.6666666666667,32907.90096153845,2892.2000000000003,2.8,5.856666666666667
1996-01-05,386.3333333333333,33065.1064102564,2892.5,2.8,5.773333333333333
1996-01-06,406.0,33222.31185897435,2892.8,2.8,5.69
1996-01-07,418.3333333333333,33379.5173076923,2893.1000000000004,2.7,5.69
1996-01-08,430.6666666666667,33536.72275641025,2893.4,2.7,5.69
1996-01-09,443.0,33693.9282051282,2893.7000000000003,2.7,5.69
1996-01-10,451.6666666666667,33851.13365384615,2894.0,3.0,5.773333333333333
1996-01-11,460.3333333333333,34008.3391025641,2894.3,3.1,5.856666666666667
1996-01-12,469.0,34165.54455128205,2894.6,2.8,5.94
1997-01-01,475.3333333333333,34322.75,2894.9,2.6,5.94
1997-01-02,481.6666666666667,34550.6875,2895.2833333333333,2.4,5.94
1997-01-03,488.0,34778.625,2895.666666666667,2.2,5.94
1997-01-04,496.6666666666667,35006.5625,2896.05,2.1,6.043333333333334
1997-01-05,505.3333333333333,35234.5,2896.4333333333334,2.1,6.1466666666666665
1997-01-06,514.0,35462.4375,2896.8166666666666,2.1,6.25
1997-01-07,519.6666666666666,35690.375,2897.2,2.4,6.416666666666667
1997-01-08,525.3333333333334,35918.3125,2897.5833333333335,2.3,6.583333333333333
1997-01-09,531.0,36146.25,2897.9666666666667,2.2,6.75
1997-01-10,546.0,36374.1875,2898.35,2.2,6.916666666666667
1997-01-11,561.0,36602.125,2898.7333333333336,2.1,7.083333333333333
1997-01-12,576.0,36830.0625,2899.116666666667,1.9,7.25
1998-01-01,575.0,37058.0,2899.5,1.8,7.25
1998-01-02,574.0,37141.416666666664,2899.5916666666667,1.8,7.25
1998-01-03,573.0,37224.833333333336,2899.6833333333334,1.9,7.25
1998-01-04,573.3333333333334,37308.25,2899.775,2.1,7.333333333333333
1998-01-05,573.6666666666666,37391.666666666664,2899.866666666667,2.2,7.416666666666667
1998-01-06,574.0,37475.083333333336,2899.9583333333335,1.9,7.5
1998-01-07,592.0,37558.5,2900.05,1.7,7.5
1998-01-08,610.0,37641.916666666664,2900.1416666666664,1.6,7.5
1998-01-09,628.0,37725.333333333336,2900.233333333333,1.7,7.5
1998-01-10,625.3333333333334,37808.75,2900.325,1.6,7.083333333333333
1998-01-11,622.6666666666666,37892.166666666664,2900.4166666666665,1.7,6.666666666666667
1998-01-12,620.0,37975.583333333336,2900.508333333333,1.9,6.25
1999-01-01,631.3333333333334,38059.0,2900.6,2.0,6.0
1999-01-02,642.6666666666666,38205.416666666664,2901.125,1.9,5.75
1999-01-03,654.0,38351.833333333336,2901.65,2.1,5.5
1999-01-04,665.0,38498.25,2902.175,2.0,5.333333333333333
1999-01-05,676.0,38644.666666666664,2902.7,1.7,5.166666666666667
1999-01-06,687.0,38791.083333333336,2903.225,1.8,5.0
1999-01-07,693.6666666666666,38937.5,2903.75,1.7,5.083333333333333
1999-01-08,700.3333333333334,39083.916666666664,2904.275,1.6,5.166666666666667
1999-01-09,707.0,39230.333333333336,2904.8,1.6,5.25
1999-01-10,721.6666666666666,39376.75,2905.325,1.5,5.333333333333333
1999-01-11,736.3333333333334,39523.166666666664,2905.85,1.5,5.416666666666667
1999-01-12,751.0,39669.583333333336,2906.375,1.5,5.5
2000-01-01,758.6666666666666,39816.0,2906.9,1.2,5.583333333333333
2000-01-02,766.3333333333334,39921.5,2907.175,1.2,5.666666666666667
2000-01-03,774.0,40027.0,2907.45,1.0,5.75
2000-01-04,779.0,40132.5,2907.725,0.9,5.75
2000-01-05,784.0,40238.0,2908.0,1.0,5.75
2000-01-06,789.0,40343.5,2908.275,1.2,5.75
2000-01-07,782.3333333333334,40449.0,2908.55,1.2,5.75
2000-01-08,775.6666666666666,40554.5,2908.825,1.0,5.75
2000-01-09,769.0,40660.0,2909.1,1.3,5.75
2000-01-10,763.0,40765.5,2909.375,1.4,5.75
2000-01-11,757.0,40871.0,2909.6499999999996,1.5,5.75
2000-01-12,751.0,40976.5,2909.9249999999997,1.2,5.75
2001-01-01,751.0,41082.0,2910.2,1.2,5.75
2001-01-02,751.0,41231.333333333336,2911.258333333333,1.2,5.75
2001-01-03,751.0,41380.666666666664,2912.3166666666666,1.3,5.75
2001-01-04,764.6666666666666,41530.0,2913.375,1.5,5.583333333333333
2001-01-05,778.3333333333334,41679.333333333336,2914.4333333333334,1.9,5.416666666666667
2001-01-06,792.0,41828.666666666664,2915.491666666667,1.9,5.25
2001-01-07,799.3333333333334,41978.0,2916.55,1.7,5.083333333333333
2001-01-08,806.6666666666666,42127.333333333336,2917.608333333333,2.1,4.916666666666667
2001-01-09,814.0,42276.666666666664,2918.6666666666665,1.7,4.75
2001-01-10,818.6666666666666,42426.0,2919.725,1.6,4.5
2001-01-11,823.3333333333334,42575.333333333336,2920.7833333333333,1.2,4.25
2001-01-12,828.0,42724.666666666664,2921.8416666666667,1.4,4.0
2002-01-01,826.3333333333334,42874.0,2922.9,1.8,4.0
2002-01-02,824.6666666666666,43105.666666666664,2924.133333333333,1.7,4.0
2002-01-03,823.0,43337.333333333336,2925.366666666667,1.7,4.0
2002-01-04,811.6666666666666,43569.0,2926.6,1.6,4.0
2002-01-05,800.3333333333334,43800.666666666664,2927.8333333333335,1.2,4.0
2002-01-06,789.0,44032.333333333336,2929.0666666666666,1.1,4.0
2002-01-07,771.0,44264.0,2930.3,1.4,4.0
2002-01-08,753.0,44495.666666666664,2931.5333333333333,1.3,4.0
2002-01-09,735.0,44727.333333333336,2932.7666666666664,1.2,4.0
2002-01-10,730.3333333333334,44959.0,2934.0,1.5,4.0
2002-01-11,725.6666666666666,45190.666666666664,2935.233333333333,1.6,4.0
2002-01-12,721.0,45422.333333333336,2936.4666666666667,1.7,4.0
2003-01-01,711.3333333333334,45654.0,2937.7,1.4,3.9166666666666665
2003-01-02,701.6666666666666,45881.75,2939.3416666666667,1.6,3.8333333333333335
2003-01-03,692.0,46109.5,2940.983333333333,1.6,3.75
2003-01-04,676.6666666666666,46337.25,2942.625,1.5,3.75
2003-01-05,661.3333333333334,46565.0,2944.2666666666664,1.3,3.75
2003-01-06,646.0,46792.75,2945.9083333333333,1.2,3.75
2003-01-07,648.6666666666666,47020.5,2947.55,1.3,3.6666666666666665
2003-01-08,651.3333333333334,47248.25,2949.1916666666666,1.4,3.5833333333333335
2003-01-09,654.0,47476.0,2950.8333333333335,1.3,3.5
2003-01-10,652.0,47703.75,2952.475,1.3,3.5833333333333335
2003-01-11,650.0,47931.5,2954.116666666667,1.3,3.6666666666666665
2003-01-12,648.0,48159.25,2955.758333333333,1.3,3.75
2004-01-01,644.6666666666666,48387.0,2957.4,1.5,3.8333333333333335
2004-01-02,641.3333333333334,48576.916666666664,2958.391666666667,1.4,3.9166666666666665
2004-01-03,638.0,48766.833333333336,2959.383333333333,1.2,4.0
2004-01-04,631.6666666666666,48956.75,2960.375,1.1,4.083333333333333
2004-01-05,625.3333333333334,49146.666666666664,2961.366666666667,1.4,4.166666666666667
2004-01-06,619.0,49336.583333333336,2962.3583333333336,1.5,4.25
2004-01-07,614.6666666666666,49526.5,2963.3500000000004,1.4,4.416666666666667
2004-01-08,610.3333333333334,49716.416666666664,2964.3416666666667,1.4,4.583333333333333
2004-01-09,606.0,49906.333333333336,2965.3333333333335,1.2,4.75
2004-01-10,595.6666666666666,50096.25,2966.3250000000003,1.3,4.75
2004-01-11,585.3333333333334,50286.166666666664,2967.3166666666666,1.5,4.75
2004-01-12,575.0,50476.083333333336,2968.3083333333334,1.8,4.75
2005-01-01,566.0,50666.0,2969.3,1.7,4.75
2005-01-02,557.0,50888.833333333336,2970.666666666667,1.7,4.75
2005-01-03,548.0,51111.666666666664,2972.0333333333333,2.0,4.75
2005-01-04,540.6666666666666,51334.5,2973.4,1.9,4.75
2005-01-05,533.3333333333334,51557.333333333336,2974.766666666667,1.9,4.75
2005-01-06,526.0,51780.166666666664,2976.133333333333,2.0,4.75
2005-01-07,521.0,52003.0,2977.5,2.3,4.666666666666667
2005-01-08,516.0,52225.833333333336,2978.866666666667,2.4,4.583333333333333
2005-01-09,511.0,52448.666666666664,2980.233333333333,2.5,4.5
2005-01-10,510.3333333333333,52671.5,2981.6,2.4,4.5
2005-01-11,509.6666666666667,52894.333333333336,2982.9666666666667,2.2,4.5
2005-01-12,509.0,53117.166666666664,2984.333333333333,2.1,4.5
2006-01-01,517.6666666666666,53340.0,2985.7,2.2,4.5
2006-01-02,526.3333333333334,53514.583333333336,2987.4166666666665,2.2,4.5
2006-01-03,535.0,53689.166666666664,2989.133333333333,2.0,4.5
2006-01-04,558.3333333333334,53863.75,2990.85,2.2,4.5
