Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,71500.0,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,72000.0,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,72500.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,73000.0,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,73500.0,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,74000.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,74000.0,131729.3734615385,7826.75,2.7,5.69
1996-01-08,74000.0,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,74000.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,74333.33333333333,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,74666.66666666667,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,75000.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,75500.0,135969.93,7853.1,2.6,5.94
1997-01-02,76000.0,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,76500.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,77000.0,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,77500.0,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,78000.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,79333.33333333333,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,80666.66666666667,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,82000.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,83000.0,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,84000.0,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,85000.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,85991.66666666667,150178.0,7888.8,1.8,7.25
1998-01-02,86983.33333333333,150815.25,7894.325,1.8,7.25
1998-01-03,87975.0,151452.5,7899.85,1.9,7.25
1998-01-04,88316.66666666667,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,88658.33333333333,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,89000.0,153364.25,7916.425,1.9,7.5
1998-01-07,89833.33333333333,154001.5,7921.950000000001,1.7,7.5
1998-01-08,90666.66666666667,154638.75,7927.475,1.6,7.5
1998-01-09,91500.0,155276.0,7933.0,1.7,7.5
1998-01-10,91833.33333333333,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,92166.66666666667,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,92500.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,92833.33333333333,157825.0,7955.1,2.0,6.0
1999-01-02,93166.66666666667,158477.0,7958.058333333333,1.9,5.75
1999-01-03,93500.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,94333.33333333333,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,95166.66666666667,160433.0,7966.933333333333,1.7,5.166666666666667
1999-01-06,96000.0,161085.0,7969.891666666667,1.8,5.0
1999-01-07,97066.66666666667,161737.0,7972.85,1.7,5.083333333333333
1999-01-08,98133.33333333333,162389.0,7975.808333333333,1.6,5.166666666666667
1999-01-09,99200.0,163041.0,7978.766666666667,1.6,5.25
1999-01-10,101133.33333333333,163693.0,7981.725,1.5,5.333333333333333
1999-01-11,103066.66666666667,164345.0,7984.683333333333,1.5,5.416666666666667
1999-01-12,105000.0,164997.0,7987.641666666667,1.5,5.5
2000-01-01,106666.66666666667,165649.0,7990.6,1.2,5.583333333333333
2000-01-02,108333.33333333333,166174.0,7993.333333333334,1.2,5.666666666666667
2000-01-03,110000.0,166699.0,7996.066666666667,1.0,5.75
2000-01-04,112325.0,167224.0,7998.8,0.9,5.75
2000-01-05,114650.0,167749.0,8001.533333333334,1.0,5.75
2000-01-06,116975.0,168274.0,8004.266666666666,1.2,5.75
2000-01-07,118316.66666666667,168799.0,8007.0,1.2,5.75
2000-01-08,119658.33333333333,169324.0,8009.733333333334,1.0,5.75
2000-01-09,121000.0,169849.0,8012.466666666666,1.3,5.75
2000-01-10,122333.33333333333,170374.0,8015.2,1.4,5.75
2000-01-11,123666.66666666667,170899.0,8017.933333333333,1.5,5.75
2000-01-12,125000.0,171424.0,8020.666666666666,1.2,5.75
2001-01-01,125833.33333333333,171949.0,8023.4,1.2,5.75
2001-01-02,126666.66666666667,172569.83333333334,8025.216666666666,1.2,5.75
2001-01-03,127500.0,173190.66666666666,8027.033333333333,1.3,5.75
2001-01-04,128333.33333333333,173811.5,8028.849999999999,1.5,5.583333333333333
2001-01-05,129166.66666666667,174432.33333333334,8030.666666666666,1.9,5.416666666666667
2001-01-06,130000.0,175053.16666666666,8032.483333333333,1.9,5.25
2001-01-07,131333.33333333334,175674.0,8034.299999999999,1.7,5.083333333333333
2001-01-08,132666.66666666666,176294.83333333334,8036.116666666667,2.1,4.916666666666667
2001-01-09,134000.0,176915.66666666666,8037.933333333333,1.7,4.75
2001-01-10,135166.66666666666,177536.5,8039.75,1.6,4.5
2001-01-11,136333.33333333334,178157.33333333334,8041.566666666667,1.2,4.25
2001-01-12,137500.0,178778.16666666666,8043.383333333333,1.4,4.0
2002-01-01,138333.33333333334,179399.0,8045.2,1.8,4.0
2002-01-02,139166.66666666666,180119.25,8048.758333333333,1.7,4.0
2002-01-03,140000.0,180839.5,8052.316666666667,1.7,4.0
2002-01-04,142083.33333333334,181559.75,8055.875,1.6,4.0
2002-01-05,144166.66666666666,182280.0,8059.433333333333,1.2,4.0
2002-01-06,146250.0,183000.25,8062.991666666667,1.1,4.0
2002-01-07,149166.66666666666,183720.5,8066.549999999999,1.4,4.0
2002-01-08,152083.33333333334,184440.75,8070.108333333333,1.3,4.0
2002-01-09,155000.0,185161.0,8073.666666666666,1.2,4.0
2002-01-10,156666.66666666666,185881.25,8077.224999999999,1.5,4.0
2002-01-11,158333.33333333334,186601.5,8080.783333333333,1.6,4.0
2002-01-12,160000.0,187321.75,8084.341666666666,1.7,4.0
2003-01-01,162250.0,188042.0,8087.9,1.4,3.9166666666666665
2003-01-02,164500.0,188599.75,8091.666666666666,1.6,3.8333333333333335
2003-01-03,166750.0,189157.5,8095.433333333333,1.6,3.75
2003-01-04,167833.33333333334,189715.25,8099.2,1.5,3.75
2003-01-05,168916.66666666666,190273.0,8102.966666666666,1.3,3.75
2003-01-06,170000.0,190830.75,8106.733333333334,1.2,3.75
2003-01-07,171665.83333333334,191388.5,8110.5,1.3,3.6666666666666665
2003-01-08,173331.66666666666,191946.25,8114.266666666666,1.4,3.5833333333333335
2003-01-09,174997.5,192504.0,8118.033333333334,1.3,3.5
2003-01-10,176665.0,193061.75,8121.8,1.3,3.5833333333333335
2003-01-11,178332.5,193619.5,8125.566666666667,1.3,3.6666666666666665
2003-01-12,180000.0,194177.25,8129.333333333334,1.3,3.75
2004-01-01,180333.33333333334,194735.0,8133.1,1.5,3.8333333333333335
2004-01-02,180666.66666666666,195550.08333333334,8138.916666666667,1.4,3.9166666666666665
2004-01-03,181000.0,196365.16666666666,8144.733333333334,1.2,4.0
2004-01-04,181833.33333333334,197180.25,8150.55,1.1,4.083333333333333
2004-01-05,182666.66666666666,197995.33333333334,8156.366666666667,1.4,4.166666666666667
