Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,45500.0,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,45500.0,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,45500.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,45333.333333333336,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,45166.666666666664,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,45000.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,45000.0,76991.5653846154,5249.85,2.7,5.69
1996-01-08,45000.0,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,45000.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,45166.666666666664,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,45333.333333333336,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,45500.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,45666.666666666664,79374.78,5266.9,2.6,5.94
1997-01-02,45833.333333333336,79949.54833333334,5269.825,2.4,5.94
1997-01-03,46000.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,46333.333333333336,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,46666.666666666664,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,47000.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,47516.666666666664,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,48033.333333333336,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,48550.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,48700.0,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,48850.0,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,49000.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,49331.666666666664,86272.0,5302.0,1.8,7.25
1998-01-02,49663.333333333336,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,49995.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,50163.333333333336,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,50331.666666666664,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,50500.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,51166.666666666664,88164.5,5320.35,1.7,7.5
1998-01-08,51833.333333333336,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,52500.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,53000.0,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,53500.0,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,54000.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,54166.666666666664,90057.0,5338.7,2.0,6.0
1999-01-02,54333.333333333336,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,54500.0,90861.16666666667,5344.75,2.1,5.5
