Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,42750.0,750935.8907692307,51410.4,2.9,6.233333333333333
1996-01-02,42750.0,755253.7257051282,51422.833333333336,3.0,6.086666666666667
1996-01-03,42750.0,759571.5606410255,51435.26666666667,3.0,5.94
1996-01-04,42833.333333333336,763889.395576923,51447.7,2.8,5.856666666666667
1996-01-05,42916.666666666664,768207.2305128204,51460.13333333333,2.8,5.773333333333333
1996-01-06,43000.0,772525.0654487179,51472.566666666666,2.8,5.69
1996-01-07,43083.333333333336,776842.9003846154,51485.0,2.7,5.69
1996-01-08,43166.666666666664,781160.7353205128,51497.433333333334,2.7,5.69
1996-01-09,43250.0,785478.5702564103,51509.86666666667,2.7,5.69
1996-01-10,43500.0,789796.4051923077,51522.3,3.0,5.773333333333333
1996-01-11,43750.0,794114.2401282052,51534.73333333333,3.1,5.856666666666667
1996-01-12,44000.0,798432.0750641025,51547.166666666664,2.8,5.94
1997-01-01,44333.333333333336,802749.91,51559.6,2.6,5.94
1997-01-02,44666.666666666664,809695.7508333334,51572.975,2.4,5.94
1997-01-03,45000.0,816641.5916666667,51586.35,2.2,5.94
1997-01-04,45316.666666666664,823587.4325,51599.725,2.1,6.043333333333334
1997-01-05,45633.333333333336,830533.2733333333,51613.1,2.1,6.1466666666666665
1997-01-06,45950.0,837479.1141666666,51626.475,2.1,6.25
1997-01-07,46283.333333333336,844424.9550000001,51639.85,2.4,6.416666666666667
1997-01-08,46616.666666666664,851370.7958333334,51653.225,2.3,6.583333333333333
1997-01-09,46950.0,858316.6366666667,51666.6,2.2,6.75
1997-01-10,47133.333333333336,865262.4775,51679.975,2.2,6.916666666666667
1997-01-11,47316.666666666664,872208.3183333334,51693.35,2.1,7.083333333333333
1997-01-12,47500.0,879154.1591666667,51706.725,1.9,7.25
1998-01-01,47666.666666666664,886100.0,51720.1,1.8,7.25
1998-01-02,47833.333333333336,889454.6666666666,51737.88333333333,1.8,7.25
1998-01-03,48000.0,892809.3333333334,51755.666666666664,1.9,7.25
1998-01-04,48333.333333333336,896164.0,51773.45,2.1,7.333333333333333
1998-01-05,48666.666666666664,899518.6666666666,51791.23333333333,2.2,7.416666666666667
1998-01-06,49000.0,902873.3333333334,51809.01666666666,1.9,7.5
1998-01-07,49331.666666666664,906228.0,51826.8,1.7,7.5
1998-01-08,49663.333333333336,909582.6666666666,51844.583333333336,1.6,7.5
1998-01-09,49995.0,912937.3333333334,51862.36666666667,1.7,7.5
1998-01-10,49996.666666666664,916292.0,51880.15,1.6,7.083333333333333
1998-01-11,49998.333333333336,919646.6666666666,51897.933333333334,1.7,6.666666666666667
1998-01-12,50000.0,923001.3333333334,51915.71666666667,1.9,6.25
1999-01-01,50333.333333333336,926356.0,51933.5,2.0,6.0
1999-01-02,50666.666666666664,930159.9166666666,51950.725,1.9,5.75
1999-01-03,51000.0,933963.8333333334,51967.95,2.1,5.5
1999-01-04,51500.0,937767.75,51985.175,2.0,5.333333333333333
1999-01-05,52000.0,941571.6666666666,52002.4,1.7,5.166666666666667
1999-01-06,52500.0,945375.5833333334,52019.625,1.8,5.0
1999-01-07,53000.0,949179.5,52036.85,1.7,5.083333333333333
1999-01-08,53500.0,952983.4166666666,52054.075,1.6,5.166666666666667
1999-01-09,54000.0,956787.3333333334,52071.299999999996,1.6,5.25
1999-01-10,54666.666666666664,960591.25,52088.524999999994,1.5,5.333333333333333
1999-01-11,55333.333333333336,964395.1666666666,52105.75,1.5,5.416666666666667
1999-01-12,56000.0,968199.0833333334,52122.975,1.5,5.5
2000-01-01,56333.333333333336,972003.0,52140.2,1.2,5.583333333333333
2000-01-02,56666.666666666664,975320.75,52158.51666666666,1.2,5.666666666666667
2000-01-03,57000.0,978638.5,52176.83333333333,1.0,5.75
2000-01-04,57500.0,981956.25,52195.149999999994,0.9,5.75
2000-01-05,58000.0,985274.0,52213.46666666667,1.0,5.75
2000-01-06,58500.0,988591.75,52231.78333333333,1.2,5.75
2000-01-07,58916.666666666664,991909.5,52250.1,1.2,5.75
2000-01-08,59333.333333333336,995227.25,52268.416666666664,1.0,5.75
2000-01-09,59750.0,998545.0,52286.73333333333,1.3,5.75
2000-01-10,59831.666666666664,1001862.75,52305.05,1.4,5.75
2000-01-11,59913.333333333336,1005180.5,52323.36666666667,1.5,5.75
2000-01-12,59995.0,1008498.25,52341.683333333334,1.2,5.75
2001-01-01,59996.666666666664,1011816.0,52360.0,1.2,5.75
2001-01-02,59998.333333333336,1015418.25,52380.175,1.2,5.75
2001-01-03,60000.0,1019020.5,52400.35,1.3,5.75
2001-01-04,61333.333333333336,1022622.75,52420.525,1.5,5.583333333333333
2001-01-05,62666.666666666664,1026225.0,52440.7,1.9,5.416666666666667
2001-01-06,64000.0,1029827.25,52460.875,1.9,5.25
2001-01-07,64916.666666666664,1033429.5,52481.05,1.7,5.083333333333333
2001-01-08,65833.33333333333,1037031.75,52501.225,2.1,4.916666666666667
2001-01-09,66750.0,1040634.0,52521.4,1.7,4.75
2001-01-10,67483.33333333333,1044236.25,52541.575,1.6,4.5
2001-01-11,68216.66666666667,1047838.5,52561.75,1.2,4.25
2001-01-12,68950.0,1051440.75,52581.924999999996,1.4,4.0
2002-01-01,69300.0,1055043.0,52602.1,1.8,4.0
2002-01-02,69650.0,1059963.5833333333,52623.85833333333,1.7,4.0
2002-01-03,70000.0,1064884.1666666667,52645.61666666667,1.7,4.0
2002-01-04,71000.0,1069804.75,52667.375,1.6,4.0
2002-01-05,72000.0,1074725.3333333333,52689.13333333333,1.2,4.0
2002-01-06,73000.0,1079645.9166666667,52710.89166666666,1.1,4.0
2002-01-07,74316.66666666667,1084566.5,52732.649999999994,1.4,4.0
2002-01-08,75633.33333333333,1089487.0833333333,52754.40833333333,1.3,4.0
2002-01-09,76950.0,1094407.6666666667,52776.166666666664,1.2,4.0
2002-01-10,78050.0,1099328.25,52797.924999999996,1.5,4.0
2002-01-11,79150.0,1104248.8333333333,52819.683333333334,1.6,4.0
2002-01-12,80250.0,1109169.4166666667,52841.441666666666,1.7,4.0
2003-01-01,81816.66666666667,1114090.0,52863.2,1.4,3.9166666666666665
2003-01-02,83383.33333333333,1118701.25,52887.26666666666,1.6,3.8333333333333335
