Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,59663.333333333336,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,59331.666666666664,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,59000.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,59000.0,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,59000.0,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,59000.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,59316.666666666664,76991.5653846154,5249.85,2.7,5.69
1996-01-08,59633.333333333336,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,59950.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,59966.666666666664,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,59983.333333333336,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,60000.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,60666.666666666664,79374.78,5266.9,2.6,5.94
1997-01-02,61333.333333333336,79949.54833333334,5269.825,2.4,5.94
1997-01-03,62000.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,62666.666666666664,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,63333.333333333336,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,64000.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,64666.666666666664,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,65333.333333333336,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,66000.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,66666.66666666667,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,67333.33333333333,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,68000.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,68333.33333333333,86272.0,5302.0,1.8,7.25
1998-01-02,68666.66666666667,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,69000.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,69833.33333333333,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,70666.66666666667,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,71500.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,71666.66666666667,88164.5,5320.35,1.7,7.5
1998-01-08,71833.33333333333,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,72000.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,72666.66666666667,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,73333.33333333333,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,74000.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,74333.33333333333,90057.0,5338.7,2.0,6.0
1999-01-02,74666.66666666667,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,75000.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,75908.33333333333,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,76816.66666666667,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,77725.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,79148.33333333333,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,80571.66666666667,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,81995.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,82996.66666666667,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,83998.33333333333,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,85000.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,85500.0,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,86000.0,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,86500.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,87665.0,96091.25,5381.375,0.9,5.75
2000-01-05,88830.0,96494.33333333333,5383.5,1.0,5.75
2000-01-06,89995.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,91163.33333333333,97300.5,5387.75,1.2,5.75
2000-01-08,92331.66666666667,97703.58333333333,5389.875,1.0,5.75
2000-01-09,93500.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,95000.0,98509.75,5394.125,1.4,5.75
2000-01-11,96500.0,98912.83333333333,5396.25,1.5,5.75
2000-01-12,98000.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,99333.33333333333,99719.0,5400.5,1.2,5.75
2001-01-02,100666.66666666667,100041.0,5403.183333333333,1.2,5.75
2001-01-03,102000.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,104333.33333333333,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,106666.66666666667,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,109000.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,110983.33333333333,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,112966.66666666667,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,114950.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,116300.0,102617.0,5424.65,1.6,4.5
2001-01-11,117650.0,102939.0,5427.333333333333,1.2,4.25
2001-01-12,119000.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,120333.33333333333,103583.0,5432.7,1.8,4.0
2002-01-02,121666.66666666667,104128.5,5436.15,1.7,4.0
2002-01-03,123000.0,104674.0,5439.6,1.7,4.0
2002-01-04,124991.66666666667,105219.5,5443.05,1.6,4.0
2002-01-05,126983.33333333333,105765.0,5446.5,1.2,4.0
2002-01-06,128975.0,106310.5,5449.95,1.1,4.0
2002-01-07,130983.33333333333,106856.0,5453.4,1.4,4.0
